timestamp,memory_available_in_mb,swap_used_in_mb,temperature_in_c,throttled_status
1786476994,3295,0,40.9,0x0
1786476995,3295,0,41.8,0x0
1786476996,3295,0,40.9,0x0
1786476997,3295,0,41.8,0x0
1786476998,3295,0,41.8,0x0
1786476999,3296,0,41.3,0x0
1786477000,3295,0,41.3,0x0
1786477001,3296,0,40.9,0x0
1786477002,3296,0,40.9,0x0
1786477003,3296,0,41.3,0x0
1786477004,3296,0,41.3,0x0
1786477005,3296,0,41.3,0x0
1786477006,3296,0,41.3,0x0
1786477007,3295,0,41.3,0x0
1786477008,3296,0,41.8,0x0
1786477009,3296,0,41.8,0x0
1786477010,3297,0,40.9,0x0
1786477011,3296,0,40.9,0x0
1786477013,3296,0,40.4,0x0
1786477014,3296,0,41.3,0x0
1786477015,3296,0,41.3,0x0
1786477016,3296,0,41.3,0x0
1786477017,3296,0,40.9,0x0
1786477018,3296,0,41.3,0x0
1786477019,3296,0,41.3,0x0
1786477020,3296,0,40.9,0x0
1786477021,3296,0,40.9,0x0
1786477022,3296,0,40.4,0x0
1786477023,3296,0,41.3,0x0
1786477024,3297,0,41.3,0x0
1786477025,3296,0,41.3,0x0
1786477026,3296,0,41.8,0x0
1786477027,3296,0,41.3,0x0
1786477028,3296,0,40.4,0x0
1786477029,3296,0,41.8,0x0
1786477030,3296,0,40.9,0x0
1786477031,3296,0,40.9,0x0
1786477032,3296,0,40.4,0x0
1786477033,3296,0,40.9,0x0
1786477034,3296,0,40.9,0x0
1786477035,3296,0,41.3,0x0
1786477037,3296,0,40.4,0x0
1786477038,3296,0,40.9,0x0
1786477039,3296,0,40.9,0x0
1786477040,3297,0,40.4,0x0
1786477041,3297,0,40.4,0x0
1786477042,3296,0,40.9,0x0
1786477043,3297,0,39.9,0x0
1786477044,3297,0,40.4,0x0
1786477045,3296,0,40.9,0x0
1786477046,3296,0,41.3,0x0
1786477047,3296,0,40.9,0x0
1786477048,3296,0,40.4,0x0
1786477049,3296,0,39.4,0x0
1786477050,3296,0,41.3,0x0
1786477051,3296,0,40.4,0x0
1786477052,3296,0,41.8,0x0
1786477053,3296,0,39.9,0x0
1786477054,3296,0,41.3,0x0
1786477055,3296,0,39.9,0x0
1786477056,3296,0,40.9,0x0
1786477057,3296,0,39.9,0x0
1786477058,3296,0,41.8,0x0
1786477059,3296,0,40.4,0x0
1786477060,3296,0,39.9,0x0
1786477062,3296,0,40.4,0x0
1786477063,3296,0,40.9,0x0
1786477064,3296,0,39.9,0x0
1786477065,3296,0,40.9,0x0
1786477066,3296,0,40.4,0x0
1786477067,3296,0,40.9,0x0
1786477068,3296,0,40.9,0x0
1786477069,3296,0,41.3,0x0
1786477070,3296,0,40.9,0x0
1786477071,3299,0,40.9,0x0
1786477072,3300,0,39.9,0x0
1786477073,3300,0,40.9,0x0
1786477074,3300,0,40.9,0x0
1786477075,3300,0,40.4,0x0
1786477076,3300,0,40.4,0x0
1786477077,3300,0,40.9,0x0
1786477078,3300,0,40.9,0x0
1786477079,3300,0,41.3,0x0
1786477080,3300,0,39.9,0x0
1786477081,3300,0,40.4,0x0
1786477082,3300,0,39.9,0x0
1786477083,3300,0,40.9,0x0
1786477084,3300,0,39.9,0x0
1786477086,3300,0,39.9,0x0
1786477087,3300,0,39.9,0x0
1786477088,3301,0,40.9,0x0
1786477089,3301,0,39.9,0x0
1786477090,3301,0,40.4,0x0
1786477091,3301,0,40.9,0x0
1786477092,3302,0,39.9,0x0
1786477093,3302,0,40.4,0x0
1786477094,3302,0,40.9,0x0
1786477095,3302,0,40.9,0x0
1786477096,3302,0,40.4,0x0
1786477097,3302,0,40.4,0x0
1786477098,3302,0,41.8,0x0
1786477099,3302,0,40.9,0x0
1786477100,3302,0,40.9,0x0
1786477101,3302,0,40.9,0x0
1786477102,3302,0,41.3,0x0
1786477103,3302,0,39.9,0x0
1786477104,3302,0,40.9,0x0
